name\Field	sublabel	module	stratum_group	process_group	electricity	solar	heat	efficiency	civ_power	mass_conversion	fuel_rate	manufacturing	bioproduction	computation	target_deposits	target_rate	overburden	discovered_norm	input_resources	input_rates	output_resources	output_rates	target_products	atmos_trace_inputs	atmos_outputs
LIQ_HYDROCARBONS_SYNTH		CATALYTIC_REACTOR_PLANTS		CONVERSION	-1.50		0.300	0.80	0	15.0									CARBON_MONOXIDE;HYDROGEN	13.0;2.00	LIQ_HYDROCARBONS;WATER	6.630;8.370	LIQ_HYDROCARBONS		
AMMONIA_SYNTH		CATALYTIC_REACTOR_PLANTS		CONVERSION	-1.50		0.300	0.80	0	1									NITROGEN;HYDROGEN	0.822;0.178	AMMONIA	1	AMMONIA		
COAL_GASIFICATION		GASIFICATION_PLANTS		CONVERSION	-0.08		0.0120	0.85	0	1									COAL;OXYGEN;WATER	0.557;0.364;0.079	CARBON_MONOXIDE;HYDROGEN;CARBON_DIOXIDE;SULFUR;INDUST_WASTE	0.780;0.039;0.123;0.008;0.050	CARBON_MONOXIDE;HYDROGEN;SULFUR		CARBON_DIOXIDE
BIOMASS_GASIFICATION		GASIFICATION_PLANTS		CONVERSION	-0.08		0.0160	0.80	0	1.333									BIOFEEDSTOCK;OXYGEN;WATER	1.073;0.207;0.0533	CARBON_MONOXIDE;HYDROGEN;CARBON_DIOXIDE;INDUST_WASTE	1.117;0.0707;0.0920;0.0533	CARBON_MONOXIDE;HYDROGEN		CARBON_DIOXIDE
METHANE_PYROLYSIS		PYROLYSIS_PLANTS		CONVERSION	-1.50		0.450	0.70	0	0.500									METHANE	0.500	CARBON;HYDROGEN	0.374;0.126	CARBON;HYDROGEN		
COAL_CARBONIZATION		PYROLYSIS_PLANTS		CONVERSION	-1.50		0.375	0.75	0	1									COAL	1	CARBON;METHANE;HYDROGEN;WATER;AMMONIA;SULFUR;CARBON_MONOXIDE;INDUST_WASTE	0.650;0.055;0.015;0.175;0.003;0.012;0.014;0.076	CARBON;METHANE;HYDROGEN;AMMONIA;SULFUR;CARBON_MONOXIDE		
BIOMASS_CARBONIZATION		PYROLYSIS_PLANTS		CONVERSION	-1.50		0.450	0.70	0	3.571									BIOFEEDSTOCK	3.571	CARBON;METHANE;HYDROGEN;CARBON_MONOXIDE;CARBON_DIOXIDE;WATER;INDUST_WASTE	1.239;0.232;0.0536;0.286;0.750;0.832;0.179	CARBON;METHANE;HYDROGEN;CARBON_MONOXIDE		CARBON_DIOXIDE
POLYMER_SYNTH		POLYMER_PLANTS		CONVERSION	-2.00		0.500	0.75	0	1									LIQ_HYDROCARBONS;INDUST_CHEMICALS;OXYGEN	0.820;0.120;0.060	POLYMERS;METHANE;HYDROGEN;CARBON_DIOXIDE;WATER;INDUST_WASTE	0.550;0.160;0.030;0.100;0.080;0.080	POLYMERS;METHANE;HYDROGEN		CARBON_DIOXIDE
INDUST_CHEMICALS_SYNTH		CHEMICAL_PLANTS		CONVERSION	-0.55		0.110	0.80	0	1									INDUST_MINERALS;SULFUR;AMMONIA;METHANOL;OXYGEN	0.450;0.080;0.020;0.150;0.300	INDUST_CHEMICALS;WATER;INDUST_WASTE	0.550;0.200;0.250	INDUST_CHEMICALS		
FINE_CHEMICALS_SYNTH		FINE_CHEMICALS_PLANTS		CONVERSION	-1.50		0.375	0.75	0	1									INDUST_CHEMICALS;METHANOL;INDUST_METALS;INDUST_MINERALS;OXYGEN	0.400;0.200;0.100;0.100;0.200	FINE_CHEMICALS;WATER;INDUST_WASTE;CARBON_DIOXIDE	0.500;0.200;0.150;0.150	FINE_CHEMICALS		CARBON_DIOXIDE
CONCRETE_PRODUCTION		CONCRETE_PLANTS		CONVERSION	-0.22		0.0550	0.75	0	1									STONE;INDUST_MINERALS;WATER	0.600;0.250;0.150	CONCRETE;CARBON_DIOXIDE	0.940;0.060	CONCRETE		CARBON_DIOXIDE
GLASS_CERAMICS_PRODUCTION		GLASS_CERAMICS_PLANTS		CONVERSION	-1.75		0.525	0.70	0	1									INDUST_MINERALS	1	GLASS_CERAMICS;CARBON_DIOXIDE	0.890;0.110	GLASS_CERAMICS		CARBON_DIOXIDE
SEMICONDUCTOR_PRODUCTION		SEMICONDUCTOR_MAT_FABS		CONVERSION	-20.0		7.00	0.65	0	1									INDUST_MINERALS;CARBON;FINE_CHEMICALS;INDUST_CHEMICALS;OXYGEN	0.500;0.100;0.050;0.100;0.250	SEMICONDUCTOR_MAT;CARBON_DIOXIDE;INDUST_WASTE;WATER	0.200;0.350;0.350;0.100	SEMICONDUCTOR_MAT		CARBON_DIOXIDE
COMPOSITE_PRODUCTION		COMPOSITES_FACILITIES		CONVERSION	-1.00		0.250	0.75	0	0.556									POLYMERS;GLASS_CERAMICS;CARBON;INDUST_CHEMICALS	0.222;0.250;0.0556;0.0278	COMPOSITES;INDUST_WASTE	0.500;0.0556	COMPOSITES		
SOLID_FUEL_PRODUCTION		PROPELLANT_PLANTS		CONVERSION	-0.29		0.0435	0.85	0	1									INDUST_CHEMICALS;ALUMINIUM;POLYMERS;FINE_CHEMICALS	0.680;0.180;0.100;0.040	SOLID_FUELS;INDUST_WASTE	0.950;0.050	SOLID_FUELS		
FERTILIZER_PRODUCTION		FERTILIZER_PLANTS		CONVERSION	-0.82		0.164	0.80	0	1									AMMONIA;INDUST_MINERALS;SULFUR;INDUST_CHEMICALS;WATER	0.294;0.470;0.059;0.118;0.059	FERTILIZERS;INDUST_WASTE	0.824;0.176	FERTILIZERS		
CONSTRUCTION		CONSTRUCTION_YARDS		CONVERSION	-0.30		0.0600	0.80	0	1		0.920							CONCRETE;STEEL_STRUCTURES;ALUMINIUM_STRUCTURES;COMPOSITE_STRUCTURES;ELECTRICAL_EQUIPMENT;GLASS_CERAMICS;POLYMERS	0.350;0.250;0.100;0.080;0.080;0.080;0.060	INFRASTRUCTURE;INDUST_WASTE	0.920;0.080	INFRASTRUCTURE		
SPACE_YARDS_ASSEMBLY		SPACE_YARDS		CONVERSION	-0.80		0.240	0.70	0	0.667		0.587							STEEL;ALUMINIUM;COMPOSITES;INDUST_METALS;ELECTRONICS;PRECISION_EQUIPMENT;POLYMERS	0.233;0.133;0.0667;0.0533;0.0533;0.0467;0.0800	HEAVY_TRANSPORTS;INDUST_WASTE	0.587;0.0800	HEAVY_TRANSPORTS		
TRANSPORT_MANUF		TRANSPORT_FACTORIES		CONVERSION	-0.80		0.200	0.75	0	1		0.900							STEEL;ALUMINIUM;POLYMERS;ELECTRONICS;GLASS_CERAMICS;INDUST_METALS;COMPOSITES	0.480;0.120;0.120;0.060;0.060;0.060;0.100	TRANSPORT_SYSTEMS;INDUST_WASTE	0.900;0.100	TRANSPORT_SYSTEMS		
STEEL_STRUCTURES_MANUF		METAL_FAB_WORKS		CONVERSION	-0.30		0.0600	0.80	0	1		0.950							STEEL;INDUST_METALS;POLYMERS	0.960;0.020;0.020	STEEL_STRUCTURES;INDUST_WASTE	0.950;0.050	STEEL_STRUCTURES		
ALUMINIUM_STRUCTURES_MANUF		METAL_FAB_WORKS		CONVERSION	-0.30		0.0600	0.80	0	0.667		0.627							ALUMINIUM;INDUST_METALS;POLYMERS	0.640;0.0133;0.0133	ALUMINIUM_STRUCTURES;INDUST_WASTE	0.627;0.0400	ALUMINIUM_STRUCTURES		
COMPOSITE_STRUCTURES_MANUF		COMPOSITES_FACILITIES		CONVERSION	-1.00		0.250	0.75	0	1		0.900							COMPOSITES;POLYMERS;TECHNICAL_TEXTILES;ALUMINIUM;INDUST_CHEMICALS	0.550;0.150;0.150;0.100;0.050	COMPOSITE_STRUCTURES;INDUST_WASTE	0.900;0.100	COMPOSITE_STRUCTURES		
TECHNICAL_TEXTILES_FAB		TEXTILES_MILLS		CONVERSION	-0.60		0.120	0.80	0	1		0.920							POLYMERS;CARBON;GLASS_CERAMICS;FINE_CHEMICALS	0.600;0.200;0.150;0.050	TECHNICAL_TEXTILES;INDUST_WASTE	0.920;0.080	TECHNICAL_TEXTILES		
SOLAR_PANEL_MANUF		SOLAR_PANEL_FACTORIES		CONVERSION	-1.80		0.450	0.75	0	1		0.920							SEMICONDUCTOR_MAT;GLASS_CERAMICS;ALUMINIUM;INDUST_METALS;POLYMERS	0.280;0.350;0.120;0.050;0.200	SOLAR_PANELS;INDUST_WASTE	0.920;0.080	SOLAR_PANELS		
BATTERY_MANUF		BATTERY_FACTORIES		CONVERSION	-1.20		0.300	0.75	0	1		0.920							INDUST_METALS;CARBON;ALUMINIUM;POLYMERS;FINE_CHEMICALS;INDUST_CHEMICALS	0.250;0.250;0.120;0.100;0.150;0.130	BATTERIES;INDUST_WASTE	0.920;0.080	BATTERIES		
LEU_FUEL_MANUF		NUCLEAR_FUEL_FAB_PLANTS		CONVERSION	-22.4		5.60	0.75	0	1		0.0929							URANIUM;WATER;INDUST_METALS;INDUST_CHEMICALS;STEEL;INDUST_MINERALS	0.955;0.0100;0.0150;0.0100;0.00500;0.00500	LE_URANIUM_FUEL;DEPLETED_URANIUM;INDUST_WASTE	0.0929;0.874;0.0331	LE_URANIUM_FUEL		
HEU_FUEL_MANUF		NUCLEAR_FUEL_FAB_PLANTS		CONVERSION	-22.4		7.84	0.65	0	0.723		0.00868							URANIUM;INDUST_METALS;INDUST_CHEMICALS;STEEL;INDUST_MINERALS	0.705;0.00578;0.00578;0.00289;0.00362	HE_URANIUM_FUEL;DEPLETED_URANIUM;INDUST_WASTE	0.00868;0.713;0.00145	HE_URANIUM_FUEL		
THORIUM_FUEL_MANUF		NUCLEAR_FUEL_FAB_PLANTS		CONVERSION	-22.4		5.60	0.75	0	8.960		8.512							THORIUM;URANIUM;INDUST_METALS;STEEL;INDUST_CHEMICALS;INDUST_MINERALS	6.272;0.269;1.792;0.224;0.224;0.179	THORIUM_FUEL;INDUST_WASTE	8.512;0.448	THORIUM_FUEL		
HEAVY_MACHINERY_MANUF		HEAVY_MANUF_PLANTS		CONVERSION	-0.55		0.110	0.80	0	1		0.920							STEEL;INDUST_METALS;ALUMINIUM;POLYMERS;ELECTRONICS	0.800;0.070;0.030;0.060;0.040	HEAVY_MACHINERY;INDUST_WASTE	0.920;0.080	HEAVY_MACHINERY		
ELECTRICAL_EQUIP_MANUF		HEAVY_MANUF_PLANTS		CONVERSION	-0.55		0.110	0.80	0	0.786		0.723							STEEL;INDUST_METALS;ALUMINIUM;POLYMERS;GLASS_CERAMICS;ELECTRONICS	0.314;0.220;0.0629;0.0786;0.0472;0.0629	ELECTRICAL_EQUIPMENT;INDUST_WASTE	0.723;0.0629	ELECTRICAL_EQUIPMENT		
PRECISION_EQUIP_MANUF		PRECISION_MANUF_PLANTS		CONVERSION	-1.50		0.375	0.75	0	1		0.880							STEEL;ALUMINIUM;INDUST_METALS;ELECTRONICS;GLASS_CERAMICS;POLYMERS;FINE_CHEMICALS	0.200;0.200;0.150;0.150;0.100;0.100;0.100	PRECISION_EQUIPMENT;INDUST_WASTE	0.880;0.120	PRECISION_EQUIPMENT		
ELECTRONICS_MANUF		ELECTRONICS_FACTORIES		CONVERSION	-2.50		0.625	0.75	0	1		0.900							SEMICONDUCTOR_MAT;INDUST_METALS;POLYMERS;GLASS_CERAMICS;PRECIOUS_METALS;FINE_CHEMICALS	0.250;0.200;0.200;0.200;0.010;0.140	ELECTRONICS;INDUST_WASTE	0.900;0.100	ELECTRONICS		
ROBOTICS_MANUF		ROBOTICS_FACTORIES		CONVERSION	-2.00		0.500	0.75	0	1		0.900							STEEL;ALUMINIUM;INDUST_METALS;ELECTRONICS;POLYMERS;PRECISION_EQUIPMENT;COMPOSITES	0.250;0.150;0.120;0.200;0.100;0.080;0.100	ROBOTICS;INDUST_WASTE	0.900;0.100	ROBOTICS		
TENSOR_PROCESSOR_FAB		ADVANCED_PROCESSOR_FABS		CONVERSION	-25.0		8.75	0.65	0	1		0.850							SEMICONDUCTOR_MAT;INDUST_METALS;PRECIOUS_METALS;FINE_CHEMICALS;POLYMERS	0.350;0.300;0.030;0.200;0.120	TENSOR_PROCESSORS;INDUST_WASTE	0.850;0.150	TENSOR_PROCESSORS		
NEUROMORPHIC_PROCESSOR_FAB		ADVANCED_PROCESSOR_FABS		CONVERSION	-25.0		8.750	0.65	0	0.833		0.708							SEMICONDUCTOR_MAT;INDUST_METALS;PRECIOUS_METALS;FINE_CHEMICALS;POLYMERS	0.291;0.250;0.0250;0.167;0.100	NEUROMORPHIC_PROCESSORS;INDUST_WASTE	0.708;0.125	NEUROMORPHIC_PROCESSORS		
CONSUMER_GOODS_MANUF		CONSUMER_GOODS_FACTORIES		CONVERSION	-0.40		0.0800	0.80	0	1		0.920							POLYMERS;STEEL;LUMBER_WOOD_PROD;GLASS_CERAMICS;BIOFIBERS;INDUST_CHEMICALS	0.300;0.150;0.250;0.100;0.100;0.100	CONSUMER_GOODS;INDUST_WASTE	0.920;0.080	CONSUMER_GOODS		
SPECIALTY_GOODS_MANUF		CONSUMER_GOODS_FACTORIES		CONVERSION	-0.40		0.0800	0.80	0	0.400		0.360							POLYMERS;INDUST_METALS;ELECTRONICS;GLASS_CERAMICS;PRECIOUS_METALS;ALUMINIUM	0.0800;0.0600;0.100;0.0600;0.00800;0.0920	SPECIALTY_GOODS;INDUST_WASTE	0.360;0.0400	SPECIALTY_GOODS		
CREW_LIFE_SUPPORT		CREW_SYSTEMS		CONVERSION	-0.030		0.00300	0.90	0	1.10e-3									PACKAGED_MEALS;OXYGEN	7.50e-4;3.50e-4	BIOWASTE;CARBON_DIOXIDE;WATER	5.16e-4;4.17e-4;1.67e-4			CARBON_DIOXIDE
URBAN_OPERATIONS		CITIES_TOWNS		CONVERSION	-8.00		2.00	0.75	0	2.60									PACKAGED_MEALS;CONSUMER_GOODS;OXYGEN	1.60;0.300;0.700	BIOWASTE;MUNICIPAL_WASTE;CARBON_DIOXIDE;WATER	1.30;0.300;0.830;0.170			CARBON_DIOXIDE
OPEN_AGRICULTURE		INDUST_FARMS		CONVERSION	-0.02	2.50	0.0504	0.98	2.50	1									FERTILIZERS;WATER;CARBON_DIOXIDE	0.015;0.650;0.335	CROP_PROD;ANIMAL_PROD;BIOFEEDSTOCK;BIOFIBERS;OXYGEN;BIOWASTE	0.300;0.150;0.100;0.020;0.280;0.150	CROP_PROD;ANIMAL_PROD;BIOFEEDSTOCK;BIOFIBERS	CARBON_DIOXIDE	
CONTROLLED_ENV_AGRICULTURE		CONTROLLED_ENV_FARMS		CONVERSION	-1.50	3.00	0.900	0.80	3.00	1									FERTILIZERS;WATER;CARBON_DIOXIDE	0.020;0.600;0.380	CROP_PROD;ANIMAL_PROD;BIOFEEDSTOCK;OXYGEN;BIOWASTE	0.280;0.100;0.050;0.320;0.250	CROP_PROD;ANIMAL_PROD;BIOFEEDSTOCK	CARBON_DIOXIDE	
OPEN_AQUACULTURE		AQUACULTURE_FARMS		CONVERSION	-0.0315	1.00	0.0206	0.98	1.00	1									FERTILIZERS;WATER;CARBON_DIOXIDE	0.010;0.700;0.290	ANIMAL_PROD;ALGAL_MICROBIAL_PROD;BIOFEEDSTOCK;OXYGEN;BIOWASTE	0.200;0.050;0.050;0.250;0.450	ANIMAL_PROD;ALGAL_MICROBIAL_PROD;BIOFEEDSTOCK	CARBON_DIOXIDE	
CONTROLLED_ENV_AQUACULTURE		CONTROLLED_ENV_AQUACULTURE_FACILITIES		CONVERSION	-1.60	1.00	0.520	0.80	1.00	1									WATER;CARBON_DIOXIDE;FERTILIZERS	0.500;0.440;0.060	ANIMAL_PROD;ALGAL_MICROBIAL_PROD;OXYGEN;BIOWASTE	0.300;0.060;0.400;0.240	ANIMAL_PROD;ALGAL_MICROBIAL_PROD	CARBON_DIOXIDE	
ALGACULTURE		ALGAL_CULTIVATION_FACILITIES		CONVERSION	-0.500	3.33	0.767	0.80	3.33	1									WATER;CARBON_DIOXIDE;NITROGEN;FERTILIZERS	0.167;0.583;0.0500;0.200	ALGAL_MICROBIAL_PROD;OXYGEN;BIOWASTE	0.500;0.467;0.0333	ALGAL_MICROBIAL_PROD	CARBON_DIOXIDE	
CELLULAR_AGRICULTURE		BIOREACTOR_FACILITIES		CONVERSION	-1.00		0.200	0.80	0	0.184									WATER;CROP_PROD;FINE_CHEMICALS;INDUST_CHEMICALS;OXYGEN	0.0501;0.0668;0.0167;0.0167;0.0334	ANIMAL_PROD;BIOWASTE;CARBON_DIOXIDE	0.100;0.0334;0.0501	ANIMAL_PROD		CARBON_DIOXIDE
COMMERCIAL_FISHING		COMMERCIAL_FISHING_FLEETS	OCEAN	EXTRACTION	-1		0.65	0.35							WILD_FISHERIES	4.0	0	0.0002					ANIMAL_PROD		
OPEN_FORESTRY		FORESTRY_OPS	CONT_SURFACE	EXTRACTION	-1		0.55	0.45							TIMBER	25	0	0.05					LUMBER_WOOD_PROD		
ARTISANAL_FARMING		ARTISANAL_FARMS		CONVERSION	-0.0919	0.769	0.0172	0.98	0.769	1									CROP_PROD;ANIMAL_PROD;INDUST_CHEMICALS	0.615;0.308;0.0769	ARTISANAL_FOODS;BIOWASTE	0.769;0.231	ARTISANAL_FOODS		
ARTISANAL_CRAFTING		ARTISANAL_WORKSHOPS		CONVERSION	-0.106		0.0212	0.80	0	1									LUMBER_WOOD_PROD;BIOFIBERS;POLYMERS;GLASS_CERAMICS;INDUST_METALS	0.350;0.250;0.150;0.150;0.100	ARTISANAL_GOODS;INDUST_WASTE;BIOWASTE	0.900;0.090;0.010	ARTISANAL_GOODS		
FOOD_PROCESSING_PACKAGING		FOOD_PROCESSING_PLANTS		CONVERSION	-0.347		0.0694	0.80	0	1									CROP_PROD;ANIMAL_PROD;POLYMERS;ALUMINIUM	0.556;0.347;0.0694;0.0278	PACKAGED_MEALS;BIOWASTE;WATER	0.694;0.139;0.167	PACKAGED_MEALS		
PHARMACEUTICALS_SYNTH		PHARMACEUTICAL_PLANTS		CONVERSION	-10.0		3.00	0.70	0	1									BIOCHEMICALS;FINE_CHEMICALS;GLASS_CERAMICS;POLYMERS	0.400;0.300;0.100;0.200	PHARMACEUTICALS;BIOWASTE;INDUST_WASTE;WATER	0.600;0.100;0.100;0.200	PHARMACEUTICALS		
SOIL_CONDITIONING		SOIL_CONDITIONING_FACILITIES		CONVERSION	-0.15		0.0300	0.80	0	1									REGOLITH;BIOWASTE;WATER;FERTILIZERS;INDUST_MINERALS	0.500;0.200;0.150;0.050;0.100	SOIL_GROWTH_MEDIA;INDUST_WASTE	0.950;0.050	SOIL_GROWTH_MEDIA		
BIOMASS_LIQUEFACTION		BIOMASS_CONVERSION_PLANTS		CONVERSION	-0.769		0.154	0.80	0	1									BIOFEEDSTOCK;HYDROGEN	0.923;0.0769	LIQ_HYDROCARBONS;BIOWASTE;CARBON_DIOXIDE;WATER	0.385;0.154;0.231;0.230	LIQ_HYDROCARBONS		CARBON_DIOXIDE
ETHANOL_FERMENTATION		BIOREACTOR_FACILITIES		CONVERSION	-1.00		0.200	0.80	0	3.00									BIOFEEDSTOCK;WATER	2.75;0.250	ETHANOL;CARBON_DIOXIDE;BIOWASTE	1.30;1.25;0.450	ETHANOL		CARBON_DIOXIDE
INDUST_FERMENTATION		BIOREACTOR_FACILITIES		CONVERSION	-1.00		0.200	0.80	0	1									BIOFEEDSTOCK;NITROGEN;INDUST_CHEMICALS	0.700;0.060;0.240	BIOCHEMICALS;CARBON_DIOXIDE;BIOWASTE	0.500;0.300;0.200	BIOCHEMICALS		CARBON_DIOXIDE
BIOGAS_PRODUCTION		BIOGAS_DIGESTERS		CONVERSION	-0.133		0.0267	0.80	0	1									BIOWASTE	1	METHANE;CARBON_DIOXIDE;FERTILIZERS;WATER	0.167;0.250;0.333;0.250	METHANE;FERTILIZERS		CARBON_DIOXIDE
BIOWASTE_TREATMENT		WASTEWATER_TREATMENT_PLANTS		CONVERSION	-0.600		0.120	0.80	0	1									BIOWASTE;OXYGEN	0.800;0.200	WATER;BIOFEEDSTOCK;FERTILIZERS;CARBON_DIOXIDE;INDUST_WASTE	0.300;0.200;0.100;0.300;0.100	WATER;BIOFEEDSTOCK;FERTILIZERS		CARBON_DIOXIDE
