STRATUM_\RESOURCE_	IRON_NICKEL	IRON_ORES	ALUMINIUM_ORES	INDUST_METAL_ORES	PRECIOUS_METAL_ORES	RARE_EARTH_ORES	URANIUM_ORES	SULFUR	ORGANICS_THOLINS	INDUST_MINERALS	COAL	OIL	STONE	REGOLITH	WATER	HYDROGEN	OXYGEN	NITROGEN	CARBON_DIOXIDE	CARBON_MONOXIDE	AMMONIA	METHANE	ETHANE	SULFUR_DIOXIDE	HELIUM	HELIUM_3	ARGON	HEAVY_NOBLE_GASES	WILD_FISHERIES	TIMBER
PLANET_EARTH_JAPAN_CONT_DEEP_SUBSURFACE		0.0003,0.35,3.35,0.67	5e-05,0.45,3.84,0.85	0.0008,0.4,3.79,0.66	2e-05,0.5,4.83,0.69	0.0001,0.5,4.25,0.68	5e-05,0.5,4.39,0.68	0.004,0.3,1.85,0.39	0.4,0.35,2.06,0.52	6,0.2,0.7,0.15	0.0002,0.45,4.53,0.86	0.0001,0.5,4.43,1.17	91.1,0.05,0.15,0.05	0.52,0.35,0.7,0.25	2,0.25,0.5,0.12	3e-5,0.5,1.5,0.5		3e-4,0.35,0.5,0.2	0.005,0.35,1.0,0.35			0.0005,0.4,2.86,0.67	5e-05,0.5,2.86,0.76		2e-06,0.5,3.36,0.84	1e-13,0.6,2.0,0.5				
PLANET_EARTH_ANTARCTICA_CONT_DEEP_SUBSURFACE		0.001,0.7,1.5,0.6	2e-4,0.8,1.8,0.6	0.003,0.7,2.0,0.6	5e-5,0.8,2.8,0.7	1.5e-4,0.8,2.5,0.7	1e-4,0.8,2.6,0.7	0.003,0.6,1.2,0.5	0.8,0.7,1.2,0.5	6,0.5,0.7,0.4	3e-4,0.7,2.1,0.6	1e-4,0.8,1.7,0.7	90.6,0.2,0.15,0.1	0.53,0.5,0.7,0.4	2,0.45,0.5,0.3	5e-5,0.7,1.5,0.5		3e-4,0.5,0.5,0.3	0.008,0.6,1.0,0.5			8e-4,0.7,1.5,0.6	8e-5,0.8,1.5,0.6		1e-5,0.7,2.0,0.6	5e-13,0.8,2.0,0.6				
PLANET_EARTH_OTHER_CONT_DEEP_SUBSURFACE		0.0015,0.4,2.9,0.77	0.0003,0.45,3.36,0.75	0.003,0.4,3.63,0.64	6e-05,0.5,5.0,0.8	0.0002,0.5,4.62,0.74	0.00015,0.55,4.5,0.78	0.003,0.4,2.42,0.6	1.0,0.4,1.83,0.46	6.0,0.25,1.02,0.29	0.0005,0.45,4.8,0.91	0.005,0.4,2.6,0.61	90.4,0.06,0.15,0.06	0.53,0.45,0.7,0.35	2,0.3,0.5,0.15	8e-5,0.5,1.5,0.5		5e-4,0.35,0.5,0.25	0.01,0.4,1.0,0.4			0.003,0.4,2.18,0.58	0.0003,0.5,2.18,0.58		3e-05,0.45,2.68,0.67	2e-12,0.6,2.0,0.5				
PLANET_EARTH_USA_CONT_EXTREME_SUBSURFACE		5e-4,0.4,1.2,0.4	1e-4,0.5,1.5,0.4	0.002,0.4,1.2,0.4	2e-5,0.6,2.2,0.5	1e-4,0.6,1.8,0.5	5e-5,0.6,2.0,0.5	0.002,0.4,1.0,0.35	0.5,0.4,1.0,0.4	4,0.3,0.6,0.2			93.9,0.03,0.1,0.03	0.1,0.5,0.5,0.3	1.5,0.3,0.5,0.2	1e-4,0.5,1.5,0.5		3e-4,0.4,0.5,0.25	0.02,0.4,1.0,0.4			0.003,0.4,2.37,0.79	0.0003,0.5,2.37,0.79		8e-05,0.4,2.87,0.72	6e-12,0.6,2.0,0.5				
PLANET_EARTH_CHINA_CONT_EXTREME_SUBSURFACE		5e-4,0.45,1.2,0.45	1e-4,0.55,1.5,0.45	0.002,0.45,1.2,0.45	2e-5,0.65,2.2,0.55	1e-4,0.6,1.8,0.5	5e-5,0.65,2.0,0.55	0.002,0.45,1.0,0.4	0.5,0.45,1.0,0.4	4,0.35,0.6,0.25			93.9,0.04,0.1,0.04	0.1,0.55,0.5,0.35	1.5,0.35,0.5,0.25	1e-4,0.5,1.5,0.5		3e-4,0.45,0.5,0.3	0.02,0.45,1.0,0.45			0.003,0.45,2.37,0.79	0.0003,0.5,2.37,0.79		8e-05,0.45,2.87,0.72	6e-12,0.6,2.0,0.5				
PLANET_EARTH_EU_CONT_EXTREME_SUBSURFACE		5e-4,0.35,1.2,0.35	1e-4,0.45,1.5,0.4	0.002,0.35,1.2,0.35	2e-5,0.55,2.2,0.45	1e-4,0.5,1.8,0.45	5e-5,0.5,2.0,0.45	0.002,0.35,1.0,0.3	0.5,0.35,1.0,0.35	4,0.25,0.6,0.2			93.9,0.03,0.1,0.03	0.1,0.45,0.5,0.3	1.5,0.25,0.5,0.18	1e-4,0.5,1.5,0.5		3e-4,0.35,0.5,0.2	0.02,0.35,1.0,0.35			0.003,0.35,2.37,0.71	0.0003,0.45,2.37,0.71		8e-05,0.35,2.87,0.72	6e-12,0.5,2.0,0.5				
PLANET_EARTH_RUSSIA_CONT_EXTREME_SUBSURFACE		5e-4,0.4,1.2,0.4	1e-4,0.5,1.5,0.4	0.002,0.4,1.2,0.4	2e-5,0.55,2.2,0.5	1e-4,0.55,1.8,0.5	5e-5,0.55,2.0,0.5	0.002,0.4,1.0,0.35	0.6,0.4,1.0,0.35	4,0.3,0.6,0.2			93.8,0.03,0.1,0.03	0.1,0.5,0.5,0.3	1.5,0.3,0.5,0.2	1e-4,0.5,1.5,0.5		3e-4,0.4,0.5,0.25	0.02,0.4,1.0,0.4			0.004,0.4,2.17,0.72	0.0004,0.45,2.17,0.65		0.0001,0.35,2.67,0.67	8e-12,0.5,2.0,0.5				
PLANET_EARTH_INDIA_CONT_EXTREME_SUBSURFACE		5e-4,0.5,1.2,0.5	1e-4,0.6,1.5,0.5	0.002,0.5,1.2,0.5	2e-5,0.65,2.2,0.55	1e-4,0.6,1.8,0.5	5e-5,0.65,2.0,0.55	0.002,0.5,1.0,0.4	0.5,0.5,1.0,0.45	4,0.35,0.6,0.25			93.9,0.05,0.1,0.04	0.1,0.55,0.5,0.35	1.5,0.35,0.5,0.25	1e-4,0.5,1.5,0.5		3e-4,0.5,0.5,0.3	0.02,0.5,1.0,0.45			0.003,0.5,2.38,0.79	0.0003,0.55,2.38,0.79		5e-05,0.5,2.88,0.72	4e-12,0.6,2.0,0.5				
PLANET_EARTH_JAPAN_CONT_EXTREME_SUBSURFACE		5e-4,0.45,1.2,0.4	1e-4,0.55,1.5,0.45	0.002,0.45,1.2,0.4	2e-5,0.6,2.2,0.5	1e-4,0.55,1.8,0.5	5e-5,0.6,2.0,0.5	0.002,0.4,1.0,0.35	0.4,0.45,1.0,0.4	4,0.3,0.6,0.2			94.0,0.04,0.1,0.03	0.1,0.5,0.5,0.3	1.5,0.3,0.5,0.2	1e-4,0.5,1.5,0.5		3e-4,0.45,0.5,0.25	0.02,0.4,1.0,0.4			0.003,0.45,2.38,0.79	0.0003,0.5,2.38,0.79		5e-05,0.5,2.88,0.72	4e-12,0.6,2.0,0.5				
PLANET_EARTH_ANTARCTICA_CONT_EXTREME_SUBSURFACE		5e-4,0.7,1.2,0.6	1e-4,0.8,1.5,0.6	0.002,0.7,1.2,0.6	2e-5,0.8,2.2,0.7	1e-4,0.8,1.8,0.7	5e-5,0.8,2.0,0.7	0.002,0.7,1.0,0.5	0.5,0.7,1.0,0.6	4,0.5,0.6,0.4			93.9,0.15,0.1,0.08	0.1,0.7,0.5,0.5	1.5,0.5,0.5,0.35	1e-4,0.7,1.5,0.5		3e-4,0.6,0.5,0.4	0.02,0.6,1.0,0.5			0.003,0.7,1.5,0.6	3e-4,0.8,1.5,0.6		8e-5,0.7,2.0,0.6	6e-12,0.8,2.0,0.6				
PLANET_EARTH_OTHER_CONT_EXTREME_SUBSURFACE		5e-4,0.5,1.2,0.45	1e-4,0.55,1.5,0.45	0.002,0.45,1.2,0.45	2e-5,0.6,2.2,0.5	1e-4,0.6,1.8,0.5	5e-5,0.6,2.0,0.5	0.002,0.45,1.0,0.4	0.5,0.45,1.0,0.4	4,0.35,0.6,0.25			93.9,0.05,0.1,0.04	0.1,0.55,0.5,0.35	1.5,0.35,0.5,0.25	1e-4,0.5,1.5,0.5		3e-4,0.45,0.5,0.3	0.02,0.45,1.0,0.45			0.003,0.45,2.37,0.79	0.0003,0.5,2.37,0.79		8e-05,0.45,2.87,0.72	6e-12,0.6,2.0,0.5				
PLANET_EARTH_USA_CONT_ULTRA_SUBSURFACE				0.002,0.5,0.8,0.4	1e-5,0.7,1.5,0.6	5e-5,0.6,0.8,0.5	3e-5,0.6,1.0,0.5	0.001,0.5,0.8,0.4	0.05,0.6,0.5,0.3	2,0.4,0.4,0.2			97.1,0.02,0.08,0.02		0.8,0.4,0.4,0.2	2e-4,0.5,1.2,0.5		1e-4,0.5,0.5,0.3	0.03,0.5,0.8,0.4			0.005,0.5,1.2,0.5			1.5e-4,0.4,1.8,0.5	2e-11,0.6,1.8,0.5				
PLANET_EARTH_CHINA_CONT_ULTRA_SUBSURFACE				0.002,0.5,0.8,0.4	1e-5,0.7,1.5,0.6	5e-5,0.6,0.8,0.5	3e-5,0.65,1.0,0.5	0.001,0.5,0.8,0.4	0.05,0.6,0.5,0.3	2,0.4,0.4,0.2			97.1,0.03,0.08,0.03		0.8,0.4,0.4,0.2	2e-4,0.5,1.2,0.5		1e-4,0.5,0.5,0.3	0.03,0.5,0.8,0.4			0.005,0.5,1.2,0.5			1.5e-4,0.45,1.8,0.5	2e-11,0.6,1.8,0.5				
PLANET_EARTH_EU_CONT_ULTRA_SUBSURFACE				0.002,0.5,0.8,0.4	1e-5,0.7,1.5,0.6	5e-5,0.6,0.8,0.5	3e-5,0.6,1.0,0.5	0.001,0.5,0.8,0.4	0.05,0.55,0.5,0.3	2,0.4,0.4,0.2			97.1,0.02,0.08,0.02		0.8,0.35,0.4,0.2	2e-4,0.5,1.2,0.5		1e-4,0.5,0.5,0.3	0.03,0.5,0.8,0.4			0.005,0.45,1.2,0.5			1.5e-4,0.4,1.8,0.5	2e-11,0.6,1.8,0.5				
PLANET_EARTH_RUSSIA_CONT_ULTRA_SUBSURFACE				0.002,0.5,0.8,0.4	1e-5,0.7,1.5,0.6	5e-5,0.6,0.8,0.5	3e-5,0.6,1.0,0.5	0.001,0.5,0.8,0.4	0.05,0.6,0.5,0.3	2,0.4,0.4,0.2			97.1,0.02,0.08,0.02		0.8,0.4,0.4,0.2	2e-4,0.5,1.2,0.5		1e-4,0.5,0.5,0.3	0.03,0.5,0.8,0.4			0.005,0.5,1.2,0.5			2e-4,0.4,1.8,0.5	3e-11,0.6,1.8,0.5				
PLANET_EARTH_INDIA_CONT_ULTRA_SUBSURFACE				0.002,0.55,0.8,0.4	1e-5,0.7,1.5,0.6	5e-5,0.65,0.8,0.5	3e-5,0.65,1.0,0.5	0.001,0.55,0.8,0.4	0.05,0.6,0.5,0.3	2,0.45,0.4,0.2			97.1,0.03,0.08,0.03		0.8,0.45,0.4,0.2	2e-4,0.5,1.2,0.5		1e-4,0.5,0.5,0.3	0.03,0.55,0.8,0.4			0.005,0.55,1.2,0.5			1.5e-4,0.5,1.8,0.5	2e-11,0.6,1.8,0.5				
PLANET_EARTH_JAPAN_CONT_ULTRA_SUBSURFACE				0.002,0.5,0.8,0.4	1e-5,0.7,1.5,0.6	5e-5,0.6,0.8,0.5	3e-5,0.65,1.0,0.5	0.001,0.5,0.8,0.4	0.05,0.6,0.5,0.3	2,0.4,0.4,0.2			97.1,0.03,0.08,0.03		0.8,0.4,0.4,0.2	2e-4,0.5,1.2,0.5		1e-4,0.5,0.5,0.3	0.03,0.5,0.8,0.4			0.005,0.5,1.2,0.5			1e-4,0.5,1.8,0.5	2e-11,0.6,1.8,0.5				
PLANET_EARTH_ANTARCTICA_CONT_ULTRA_SUBSURFACE				0.002,0.7,0.8,0.6	1e-5,0.8,1.5,0.7	5e-5,0.8,0.8,0.6	3e-5,0.8,1.0,0.6	0.001,0.7,0.8,0.5	0.05,0.8,0.5,0.4	2,0.5,0.4,0.3			97.1,0.1,0.08,0.06		0.8,0.5,0.4,0.3	2e-4,0.7,1.2,0.5		1e-4,0.6,0.5,0.4	0.03,0.6,0.8,0.5			0.005,0.7,1.2,0.6			1.5e-4,0.7,1.8,0.6	2e-11,0.8,1.8,0.6				
PLANET_EARTH_OTHER_CONT_ULTRA_SUBSURFACE				0.002,0.5,0.8,0.4	1e-5,0.7,1.5,0.6	5e-5,0.6,0.8,0.5	3e-5,0.65,1.0,0.5	0.001,0.5,0.8,0.4	0.05,0.6,0.5,0.3	2,0.4,0.4,0.2			97.1,0.03,0.08,0.03		0.8,0.4,0.4,0.2	2e-4,0.5,1.2,0.5		1e-4,0.5,0.5,0.3	0.03,0.5,0.8,0.4			0.005,0.5,1.2,0.5			1.5e-4,0.45,1.8,0.5	2e-11,0.6,1.8,0.5				
PLANET_EARTH_USA_CONT_LOWER_CRUST				0.01,0.5,0.5,0.3	5e-6,0.7,1.0,0.6	3e-5,0.6,0.5,0.3	1e-5,0.7,0.5,0.3	0.01,0.5,0.5,0.3		1,0.5,0.3,0.15			98.6,0.02,0.05,0.02		0.3,0.5,0.3,0.15	1e-4,0.5,1.0,0.5		5e-5,0.5,0.4,0.2	0.05,0.5,0.5,0.3			0.003,0.5,1.0,0.5			2e-4,0.4,1.5,0.5	6e-11,0.6,1.5,0.5				
PLANET_EARTH_CHINA_CONT_LOWER_CRUST				0.01,0.5,0.5,0.3	5e-6,0.7,1.0,0.6	3e-5,0.6,0.5,0.3	1e-5,0.7,0.5,0.3	0.01,0.5,0.5,0.3		1,0.5,0.3,0.15			98.6,0.02,0.05,0.02		0.3,0.5,0.3,0.15	1e-4,0.5,1.0,0.5		5e-5,0.5,0.4,0.2	0.05,0.5,0.5,0.3			0.003,0.5,1.0,0.5			2e-4,0.4,1.5,0.5	6e-11,0.6,1.5,0.5				
PLANET_EARTH_EU_CONT_LOWER_CRUST				0.01,0.5,0.5,0.3	5e-6,0.7,1.0,0.6	3e-5,0.6,0.5,0.3	1e-5,0.7,0.5,0.3	0.01,0.5,0.5,0.3		1,0.5,0.3,0.15			98.6,0.02,0.05,0.02		0.3,0.5,0.3,0.15	1e-4,0.5,1.0,0.5		5e-5,0.5,0.4,0.2	0.05,0.5,0.5,0.3			0.003,0.5,1.0,0.5			2e-4,0.4,1.5,0.5	6e-11,0.6,1.5,0.5				
PLANET_EARTH_RUSSIA_CONT_LOWER_CRUST				0.01,0.5,0.5,0.3	5e-6,0.7,1.0,0.6	3e-5,0.6,0.5,0.3	1e-5,0.7,0.5,0.3	0.01,0.5,0.5,0.3		1,0.5,0.3,0.15			98.6,0.02,0.05,0.02		0.3,0.5,0.3,0.15	1e-4,0.5,1.0,0.5		5e-5,0.5,0.4,0.2	0.05,0.5,0.5,0.3			0.003,0.5,1.0,0.5			2e-4,0.4,1.5,0.5	6e-11,0.6,1.5,0.5				
PLANET_EARTH_INDIA_CONT_LOWER_CRUST				0.01,0.55,0.5,0.3	5e-6,0.7,1.0,0.6	3e-5,0.65,0.5,0.3	1e-5,0.7,0.5,0.3	0.01,0.55,0.5,0.3		1,0.5,0.3,0.15			98.6,0.03,0.05,0.02		0.3,0.5,0.3,0.15	1e-4,0.5,1.0,0.5		5e-5,0.5,0.4,0.2	0.05,0.55,0.5,0.3			0.003,0.55,1.0,0.5			2e-4,0.45,1.5,0.5	6e-11,0.6,1.5,0.5				
PLANET_EARTH_JAPAN_CONT_LOWER_CRUST				0.01,0.5,0.5,0.3	5e-6,0.7,1.0,0.6	3e-5,0.6,0.5,0.3	1e-5,0.7,0.5,0.3	0.01,0.5,0.5,0.3		1,0.5,0.3,0.15			98.6,0.03,0.05,0.02		0.3,0.5,0.3,0.15	1e-4,0.5,1.0,0.5		5e-5,0.5,0.4,0.2	0.05,0.5,0.5,0.3			0.003,0.5,1.0,0.5			1.5e-4,0.5,1.5,0.5	5e-11,0.6,1.5,0.5				
PLANET_EARTH_ANTARCTICA_CONT_LOWER_CRUST				0.01,0.7,0.5,0.4	5e-6,0.8,1.0,0.7	3e-5,0.8,0.5,0.4	1e-5,0.8,0.5,0.4	0.01,0.7,0.5,0.4		1,0.6,0.3,0.2			98.6,0.08,0.05,0.04		0.3,0.6,0.3,0.2	1e-4,0.7,1.0,0.5		5e-5,0.6,0.4,0.3	0.05,0.6,0.5,0.4			0.003,0.7,1.0,0.6			2e-4,0.7,1.5,0.6	6e-11,0.8,1.5,0.6				
PLANET_EARTH_OTHER_CONT_LOWER_CRUST				0.01,0.5,0.5,0.3	5e-6,0.7,1.0,0.6	3e-5,0.6,0.5,0.3	1e-5,0.7,0.5,0.3	0.01,0.5,0.5,0.3		1,0.5,0.3,0.15			98.6,0.03,0.05,0.02		0.3,0.5,0.3,0.15	1e-4,0.5,1.0,0.5		5e-5,0.5,0.4,0.2	0.05,0.5,0.5,0.3			0.003,0.5,1.0,0.5			2e-4,0.45,1.5,0.5	6e-11,0.6,1.5,0.5				
PLANET_EARTH_OCEAN				7e-5,0.3,0.2,0.1			5e-6,0.25,0.15,0.08		5e-5,0.3,0.15,0.08	3.5,0.02,0.05,0.02					96.5,0.005,0,0		5e-4,0.1,0.15,0.08	1.5e-3,0.1,0.1,0.05	0.009,0.1,0.1,0.05		1e-5,0.3,0.2,0.1	1e-6,0.5,0.8,0.4			7e-10,0.15,0.05,0.02	8e-16,0.18,0.05,0.02	5e-5,0.1,0.05,0.02	5e-8,0.15,0.05,0.02	7e-8,0.3,2.9,0.25	
PLANET_EARTH_OCEAN_FLOOR		0.3,0.4,1.2,0.4	0.01,0.5,0.8,0.3	0.01,0.5,1.8,0.5	5e-5,0.7,2.5,0.7	0.005,0.6,2.0,0.6	1e-4,0.5,1.5,0.5	0.15,0.3,0.6,0.25	1.5,0.25,0.8,0.3	3,0.3,0.8,0.3			8,0.2,0.5,0.2	61,0.15,0.2,0.1	26,0.15,0.15,0.08	1e-5,0.5,1.0,0.5		5e-4,0.3,0.3,0.15	0.01,0.3,0.3,0.15		5e-4,0.4,0.5,0.25	0.005,0.5,2.0,0.6								
PLANET_EARTH_OCEAN_CRUST				0.05,0.5,1.8,0.6	5e-4,0.7,2.0,0.6	0.005,0.5,0.8,0.4	1e-4,0.6,0.8,0.4	0.5,0.3,0.5,0.2	0.01,0.5,1.0,0.5	2,0.3,0.3,0.15			95.6,0.1,0.1,0.05	0.3,0.3,0.5,0.2	1.5,0.3,0.3,0.15															
PLANET_EARTH_MANTLE				0.04,0.5,0.3,0.15	5e-4,0.6,0.3,0.15	0.001,0.5,0.15,0.08		0.025,0.3,0.2,0.1		0.08,0.5,0.3,0.15			99.7,0.03,0.05,0.02		0.1,0.5,0.3,0.15				0.03,0.5,0.3,0.15						1e-6,0.5,0.2,0.1	8e-12,0.6,0.2,0.1				
PLANET_EARTH_CORE	85,0.1,0.05,0.02			2,0.4,0.1,0.05				5,0.3,0.1,0.05					7.5,0.3,0.1,0.05			0.5,0.5,0.1,0.05														
MOON_MOON_POLAR_SHADED_REGOLITH	0.5,0.3,0.5,0.2					0.1,0.5,0.6,0.3		0.1,0.5,0.7,0.3	0.2,0.7,0.8,0.4	2,0.3,0.3,0.15				91,0.15,0.15,0.1	5,0.6,0.8,0.4	0.05,0.6,0.7,0.3		0.02,0.8,0.8,0.4	0.5,0.7,0.8,0.4	0.1,0.8,0.8,0.4	0.1,0.8,0.8,0.4	0.05,0.8,0.8,0.4		0.1,0.8,0.8,0.4	0.001,0.5,0.5,0.2	3e-7,0.5,0.5,0.2				
MOON_MOON_REGOLITH	0.5,0.25,0.4,0.15					0.1,0.4,0.6,0.25		0.05,0.3,0.5,0.2		3,0.2,0.4,0.15			2,0.2,0.3,0.15	94.3,0.08,0.15,0.08	0.01,0.5,0.6,0.3	0.005,0.3,0.4,0.15		0.002,0.3,0.4,0.15							1.2e-3,0.3,0.4,0.15	4e-7,0.35,0.4,0.15				
MOON_MOON_NEAR_SURFACE	0.2,0.3,0.5,0.2	1,0.3,0.5,0.2	2,0.3,0.5,0.2	0.2,0.4,0.5,0.25		0.15,0.4,0.6,0.25		0.05,0.3,0.5,0.2		5,0.25,0.4,0.15			76.2,0.12,0.2,0.1	15.2,0.2,0.3,0.15																
MOON_MOON_CRUST_TERRAE	0.05,0.4,0.6,0.3	2,0.25,0.5,0.2	12,0.2,0.4,0.15	0.2,0.4,0.6,0.25		0.3,0.35,0.6,0.25	0.005,0.5,0.7,0.3	0.02,0.35,0.5,0.2		5,0.2,0.3,0.15			80.4,0.1,0.2,0.1																	
MOON_MOON_CRUST_MARIA	0.08,0.4,0.6,0.3	4.4,0.25,0.5,0.2	10.7,0.22,0.45,0.18	0.55,0.4,0.6,0.25		0.6,0.35,0.65,0.25	0.008,0.5,0.7,0.3	0.07,0.35,0.5,0.2		6,0.22,0.35,0.18			77.6,0.12,0.22,0.12																	
MOON_MOON_MANTLE	0.05,0.5,0.3,0.15	2,0.4,0.3,0.15	0.5,0.5,0.3,0.15	0.5,0.5,0.3,0.15		0.02,0.5,0.3,0.15		0.1,0.4,0.3,0.15		3,0.4,0.25,0.1			93.8,0.15,0.15,0.08																	
MOON_MOON_CORE	89,0.2,0.1,0.05			1,0.5,0.2,0.1				7,0.4,0.2,0.1					3,0.5,0.15,0.1																	
PLANET_MARS_ATMOSPHERE															0.013,0.3,0,0	7e-5,0.3,0,0	0.096,0.03,0,0	1.74,0.01,0,0	96.6,0.002,0,0	0.052,0.05,0,0					1e-4,0.5,0,0	8e-10,0.7,0,0	1.47,0.01,0,0	2e-4,0.1,0,0		
PLANET_MARS_NORTH_POLAR_CAP										1,0.3,0.5,0.2			0.5,0.3,0.5,0.2	3,0.2,0.5,0.2	95,0.05,0.1,0.05				0.5,0.4,0.5,0.2											
PLANET_MARS_SOUTH_POLAR_CAP										3,0.3,0.5,0.2			2,0.3,0.5,0.2	5,0.2,0.5,0.2	82,0.1,0.15,0.08				8,0.3,0.3,0.15											
PLANET_MARS_REGOLITH		2,0.2,0.8,0.3		0.3,0.3,1.0,0.4		0.05,0.5,0.8,0.4		2,0.15,0.6,0.2	0.01,0.8,1.5,0.5	6,0.15,0.5,0.2			3,0.15,0.3,0.1	83.6,0.08,0.2,0.08	3,0.3,1.5,0.5			0.01,0.5,0.8,0.4	0.03,0.3,0.5,0.2											
PLANET_MARS_NEAR_SURFACE		1.5,0.25,0.8,0.3	0.5,0.4,1.0,0.4	0.3,0.3,1.0,0.4		0.05,0.5,0.8,0.4	0.01,0.6,1.0,0.5	1.5,0.2,0.6,0.25	0.005,0.8,1.5,0.5	5,0.2,0.5,0.2			65,0.08,0.2,0.08	16,0.15,0.3,0.1	10,0.4,2.0,0.5			0.005,0.5,0.8,0.4	0.08,0.3,0.5,0.2			5e-4,0.8,2.0,0.8								
PLANET_MARS_SUBSURFACE		1,0.3,1.0,0.4	0.3,0.4,1.0,0.4	0.5,0.35,1.2,0.4	5e-4,0.6,1.5,0.6	0.05,0.5,0.8,0.4	0.01,0.6,1.0,0.5	1,0.25,0.8,0.3	0.002,0.8,1.5,0.6	3,0.25,0.5,0.2			85.0,0.06,0.15,0.06	5,0.2,0.5,0.2	4,0.5,1.5,0.5	5e-5,0.6,1.5,0.6		0.003,0.5,0.8,0.4	0.1,0.4,0.8,0.3			0.005,0.8,2.0,0.8			1e-6,0.5,2.0,0.5	3e-14,0.7,2.0,0.5				
PLANET_MARS_DEEP_CRUST		0.5,0.4,0.8,0.4	0.3,0.4,0.8,0.4	1,0.4,1.0,0.4	1e-3,0.6,1.5,0.6	0.02,0.5,0.6,0.3	5e-3,0.5,0.8,0.4	0.5,0.3,0.5,0.25	1e-3,0.8,1.0,0.5	2,0.3,0.3,0.15			92.1,0.1,0.1,0.05	2,0.3,0.5,0.2	1.5,0.5,0.8,0.4	1e-4,0.6,1.0,0.5		0.01,0.5,0.5,0.3	0.05,0.5,0.5,0.3			3e-3,0.8,1.5,0.7		0.01,0.5,0.5,0.3	5e-6,0.5,1.5,0.5	1e-13,0.7,1.5,0.5				
PLANET_MARS_MANTLE				0.06,0.5,0.3,0.15	5e-4,0.6,0.3,0.15	0.001,0.5,0.15,0.08		0.05,0.3,0.2,0.1		0.1,0.5,0.3,0.15			99.6,0.03,0.05,0.02		0.15,0.5,0.3,0.15				0.03,0.5,0.3,0.15						1e-6,0.5,0.2,0.1	4e-11,0.7,0.2,0.1				
PLANET_MARS_CORE	80,0.15,0.05,0.02			1.5,0.5,0.1,0.05				15,0.3,0.1,0.05					3,0.4,0.1,0.05			0.5,0.5,0.1,0.05														
MOON_PHOBOS_BULK	0.5,0.5,0.5,0.25	1,0.4,0.8,0.3		0.3,0.4,0.8,0.3		0.02,0.5,0.5,0.3		2,0.3,0.5,0.2	3,0.5,0.5,0.3	3,0.3,0.5,0.2			55,0.15,0.3,0.1	30,0.15,0.2,0.1	5,0.5,0.5,0.3			0.05,0.6,0.5,0.3	0.1,0.5,0.5,0.3											
MOON_DEIMOS_BULK	0.3,0.5,0.5,0.25	0.8,0.4,0.8,0.3		0.2,0.4,0.8,0.3		0.02,0.5,0.5,0.3		2,0.3,0.5,0.2	3,0.5,0.5,0.3	3,0.3,0.5,0.2			54.5,0.15,0.3,0.1	30,0.15,0.2,0.1	6,0.5,0.5,0.3			0.05,0.6,0.5,0.3	0.1,0.5,0.5,0.3											
@ENTITY_X_ENTITY																														
@DATA_TYPE=VECTOR4																														
@DATA_DEFAULT=0,0,0,0																														
# column resources are extraction subset																														
# (wt%, mass_cv, dispersion, dispersion_sd)																														
# game start measured values (errors are actual)																														
