name\Field	generic_body_class	body	body_radius	polity	stratum_group	depth	thickness	spherical_fraction	area	volume	density	mass	survey_level	#survey_note
MOON_EUROPA_ICE_SURFACE		MOON_EUROPA	1561		ICE_SURFACE	5e-3	5e-3	1	3.06e7	153000	1	1.53e17	2	Galileo imaging and NIMS; radiation-processed ice and salt signatures; no surface sampling
MOON_EUROPA_ICE_SHELL		MOON_EUROPA	1561		ICE_SHELL	20	20	1	3.06e7	6.07e8	0.95	5.77e20	1	Galileo gravity and magnetometer; Europa Clipper forthcoming; ice thickness uncertain
MOON_EUROPA_SUBSURFACE_OCEAN		MOON_EUROPA	1561		SUBSURFACE_OCEAN	100	80	1	2.98e7	2.27e9	1.05	2.38e21	0.5	Galileo magnetometer indicates saline ocean; Europa Clipper will improve constraints
MOON_EUROPA_MANTLE		MOON_EUROPA	1561		MANTLE	1000	900	1	2.68e7	1.23e10	3.3	4.06e22	0.3	Galileo gravity; rocky interior inferred from bulk density; no seismic data
MOON_EUROPA_CORE		MOON_EUROPA	1561		CORE	1561	561	1	3.96e6	7.4e8	5.9	4.37e21	0.3	Galileo gravity; iron-sulfide; core size poorly constrained
MOON_GANYMEDE_ICE_SURFACE		MOON_GANYMEDE	2634		ICE_SURFACE	5e-3	5e-3	1	8.72e7	436000	0.95	4.14e17	1.5	Galileo imaging and spectroscopy; JUICE approaching; no surface sampling
MOON_GANYMEDE_OUTER_ICE_SHELL		MOON_GANYMEDE	2634		OUTER_ICE_SHELL	150	150	1	8.72e7	1.24e10	0.95	1.17e22	0.8	Galileo gravity and imaging; JUICE will probe ice structure; no subsurface data
MOON_GANYMEDE_SUBSURFACE_OCEAN		MOON_GANYMEDE	2634		SUBSURFACE_OCEAN	250	100	1	7.76e7	7.46e9	1.05	7.83e21	0.5	Galileo magnetometer; HST aurora; JUICE will refine ocean depth
MOON_GANYMEDE_INNER_ICE		MOON_GANYMEDE	2634		INNER_ICE	800	550	1	7.14e7	3.09e10	1.3	4.02e22	0.3	Inferred from Galileo gravity; ice phase transitions theoretical; JUICE will improve models
MOON_GANYMEDE_MANTLE		MOON_GANYMEDE	2634		MANTLE	1930	1130	1	4.23e7	2.44e10	3.3	8.05e22	0.3	Galileo gravity; rocky composition inferred; JUICE may refine interior model
MOON_GANYMEDE_CORE		MOON_GANYMEDE	2634		CORE	2634	704	1	6.23e6	1.46e9	5.5	8.04e21	0.3	Galileo magnetic field and gravity; generates intrinsic field; iron-sulfide
MOON_CALLISTO_SURFACE		MOON_CALLISTO	2410		SURFACE	5e-3	5e-3	1	7.3e7	365000	1.2	4.38e17	1.5	Galileo imaging and NIMS; ancient cratered ice-rock surface; no surface sampling
MOON_CALLISTO_OUTER_SHELL		MOON_CALLISTO	2410		OUTER_SHELL	100	100	1	7.3e7	7e9	1.2	8.4e21	0.5	Galileo gravity; ice-rock composition inferred from density; no subsurface data
MOON_CALLISTO_SUBSURFACE_OCEAN		MOON_CALLISTO	2410		SUBSURFACE_OCEAN	200	100	1	6.71e7	6.45e9	1.05	6.77e21	0.3	Galileo magnetometer hints; thin ocean with antifreeze solutes; uncertain existence
MOON_CALLISTO_INTERIOR		MOON_CALLISTO	2410		INTERIOR	2410	2210	1	6.14e7	4.52e10	2.04	9.24e22	0.3	Galileo gravity; undifferentiated ice-rock; no distinct metallic core
MOON_AMALTHEA_BULK		MOON_AMALTHEA	84		BULK	84	84	1	88700	2.48e6	0.86	2.13e18	1	Galileo close flyby; anomalously low density; possible rubble-pile structure
PLANET_SATURN_ATMOSPHERE		PLANET_SATURN	58232		ATMOSPHERE	1000	1000	1	4.26e10	4.23e13	0.005	2.12e23	5	Cassini and Voyager; well-characterized H2/He; lower He than Jupiter from helium rain
PLANET_SATURN_MOL_H_ENVELOPE		PLANET_SATURN	58232		MOL_H_ENVELOPE	30000	29000	1	4.12e10	6.91e14	0.48	3.32e26	0.5	Cassini gravity; equation of state models; transition deeper than Jupiter
PLANET_SATURN_MET_H_ENVELOPE		PLANET_SATURN	58232		MET_H_ENVELOPE	43232	13232	1	1e10	8.01e13	1.8	1.44e26	0.3	Cassini magnetic field; metallic transition at lower pressure than Jupiter
PLANET_SATURN_CORE		PLANET_SATURN	58232		CORE	58232	15000	1	2.83e9	1.41e13	6.4	9.02e25	0.3	Cassini gravity and ring seismology; possibly dilute; mass poorly constrained
MOON_TITAN_ATMOSPHERE		MOON_TITAN	2575		ATMOSPHERE	0	600	1	1.27e8	6.26e10	1.44e-4	9.01e18	7	Cassini CIRS VIMS and Huygens descent probe; N2/CH4 well characterized; complex haze layers
MOON_TITAN_HYDROCARBON_BODIES		MOON_TITAN	2575		HYDROCARBON_BODIES	0.15	0.15	0.01	833000	125000	0.55	6.88e16	4	Cassini radar mapped Kraken Ligeia Punga Mares; bathymetry limited; CH4/C2H6 liquid
MOON_TITAN_SURFACE		MOON_TITAN	2575		SURFACE	0.01	0.01	0.99	8.25e7	825000	1.2	9.9e17	3	Cassini radar and VIMS; Huygens landing site; dune fields and ice bedrock; varied terrain
MOON_TITAN_ICE_SHELL		MOON_TITAN	2575		ICE_SHELL	100	100	1	8.33e7	8e9	1	8e21	0.5	Cassini gravity and radar sounding; clathrate layers theoretical; no subsurface data
MOON_TITAN_SUBSURFACE_OCEAN		MOON_TITAN	2575		SUBSURFACE_OCEAN	200	100	1	7.7e7	7.37e9	1	7.37e21	0.5	Cassini gravity and Schumann resonance; water-ammonia ocean inferred; no direct sampling
MOON_TITAN_INNER_ICE		MOON_TITAN	2575		INNER_ICE	500	300	1	7.09e7	1.87e10	1.3	2.43e22	0.3	Cassini gravity; HP ice phases theoretical; no direct data
MOON_TITAN_CORE		MOON_TITAN	2575		CORE	2575	2075	1	5.41e7	3.74e10	2.53	9.46e22	0.3	Cassini gravity; hydrated silicate rock; no distinct metallic core confirmed
MOON_MIMAS_ICE_SURFACE		MOON_MIMAS	198		ICE_SURFACE	0.005	0.005	1	493000	2470	0.93	2.3e15	1.5	Cassini imaging; Herschel crater dominates; no surface sampling
MOON_MIMAS_ICE_SHELL		MOON_MIMAS	198		ICE_SHELL	25	25	1	493000	1.08e7	0.93	1e19	0.5	Cassini gravity and libration; ice shell thickness constrained; no subsurface data
MOON_MIMAS_SUBSURFACE_OCEAN		MOON_MIMAS	198		SUBSURFACE_OCEAN	70	45	1	376000	1.29e7	1	1.29e19	0.3	Cassini libration analysis; global ocean inferred from unexpectedly large physical libration
MOON_MIMAS_CORE		MOON_MIMAS	198		CORE	198	128	1	206000	8.78e6	1.65	1.45e19	0.3	Cassini gravity; silicate rock; poorly characterized; low density implies ice or porosity
MOON_ENCELADUS_ICE_SURFACE		MOON_ENCELADUS	252		ICE_SURFACE	0.005	0.005	1	798000	3990	0.92	3.67e15	2.5	Cassini close flybys and plume sampling; exceptionally clean ice; highest albedo in solar system
MOON_ENCELADUS_ICE_SHELL		MOON_ENCELADUS	252		ICE_SHELL	20	20	1	798000	1.47e7	0.93	1.37e19	1	Cassini gravity; shell thickness varies 5-25 km; tiger stripe fractures at south pole
MOON_ENCELADUS_SUBSURFACE_OCEAN		MOON_ENCELADUS	252		SUBSURFACE_OCEAN	60	40	1	677000	2.27e7	1.02	2.32e19	1	Cassini plume sampling and gravity; salinity pH constrained; hydrothermal venting confirmed
MOON_ENCELADUS_CORE		MOON_ENCELADUS	252		CORE	252	192	1	463000	2.96e7	2.4	7.1e19	0.5	Cassini gravity; porous hydrated rock; hydrothermal circulation inferred from plume data
MOON_TETHYS_SURFACE		MOON_TETHYS	531		SURFACE	0.005	0.005	1	3.54e6	17700	0.93	1.65e16	1.5	Cassini imaging; Odysseus basin and Ithaca Chasma mapped; no surface sampling
MOON_TETHYS_CRUST		MOON_TETHYS	531		CRUST	100	100	1	3.54e6	2.92e8	0.93	2.72e20	0.5	Cassini gravity; assumed water ice crust; no subsurface data
MOON_TETHYS_INTERIOR		MOON_TETHYS	531		INTERIOR	531	431	1	2.33e6	3.35e8	1.03	3.45e20	0.3	Cassini gravity; very low density; water ice with minor rock; no differentiation evidence
MOON_DIONE_SURFACE		MOON_DIONE	561		SURFACE	0.005	0.005	1	3.96e6	19800	0.93	1.84e16	1.5	Cassini imaging and spectroscopy; wispy terrain mapped; no surface sampling
MOON_DIONE_ICE_SHELL		MOON_DIONE	561		ICE_SHELL	100	100	1	3.96e6	3.29e8	0.95	3.13e20	0.5	Cassini gravity; ice shell composition inferred; no subsurface data
MOON_DIONE_SUBSURFACE_OCEAN		MOON_DIONE	561		SUBSURFACE_OCEAN	120	20	1	2.67e6	5.11e7	1.02	5.21e19	0.3	Cassini gravity and shape; thin ocean lower confidence than Enceladus or Mimas
MOON_DIONE_INTERIOR		MOON_DIONE	561		INTERIOR	561	441	1	2.44e6	3.59e8	2.04	7.32e20	0.3	Cassini gravity; rock-enriched ice-rock; partially hydrated silicate; no distinct core
MOON_RHEA_SURFACE		MOON_RHEA	764		SURFACE	0.005	0.005	1	7.33e6	36700	0.93	3.41e16	1	Cassini imaging; heavily cratered ice surface; tenuous O2/CO2 exosphere; no surface sampling
MOON_RHEA_OUTER_SHELL		MOON_RHEA	764		OUTER_SHELL	100	100	1	7.33e6	6.44e8	1	6.44e20	0.5	Cassini gravity; ice-dominated outer layer; minimal differentiation evidence
MOON_RHEA_INTERIOR		MOON_RHEA	764		INTERIOR	764	664	1	5.54e6	1.23e9	1.36	1.67e21	0.3	Cassini gravity; near-homogeneous ice-rock; rock fraction poorly constrained
MOON_IAPETUS_SURFACE		MOON_IAPETUS	735		SURFACE	0.005	0.005	1	6.79e6	34000	1	3.4e16	1.5	Cassini imaging; extreme albedo dichotomy well mapped; equatorial ridge; no surface sampling
MOON_IAPETUS_CRUST		MOON_IAPETUS	735		CRUST	100	100	1	6.79e6	5.91e8	0.95	5.61e20	0.3	Cassini gravity; water ice with minor rock; equatorial ridge origin debated
MOON_IAPETUS_INTERIOR		MOON_IAPETUS	735		INTERIOR	735	635	1	5.07e6	1.07e9	1.16	1.24e21	0.3	Cassini gravity; likely undifferentiated; possible small rocky concentration near center
MOON_HYPERION_BULK		MOON_HYPERION	135		BULK	135	135	1	229000	1.03e7	0.54	5.56e18	1	Cassini close flyby; sponge-like surface; chaotic tumbling; ~40% porosity
MOON_PHOEBE_BULK		MOON_PHOEBE	107		BULK	107	107	1	144000	5.13e6	1.64	8.41e18	1.5	Cassini close flyby; captured KBO; surface well characterized; CO2 and H2O ice detected
